,Mimic enzyme activity,N,P,S,Si,Se,B,F,Cl,Br,I,Metal ratio,Metal type,Metal valence,Submetal ratio,Submetal type,Submetal valence,3rd metal ratio,3rd metal type,3rd metal valence,4th metal ratio,4th metal type,4th metal  valence,shape,Size/nm,Surface modification,Dispersion medium,Buffer pH value,Buffer pH,Temperature/℃,Substrate1,Substrate2,Substrate2 concentration(mM),Km/mM,Vmax/μM s-1,Kcat/s-1,"k cat /Km
(Catalytic efficiency )/M-1 s-1",Chemical_formula
ZnBNC,0,1,0,0,0,0,1,0,0,0,0,100,30,0,33.3,30,2,24.845,25,4,15.585,26.5,2,3,200,4,0,4,0,25,1,1,1.24,1.24,0.11,345000000,3.33E+13,217
CDs@NC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,49.34,23,5,16.64,58,4,9.375,26,2,0,2,4,0,4,0,25,0,0,0.1,0.31,54.3,0.1,909.985,218
CDs@NC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,49.34,24.5,4,16.64,58,4,9.375,26,2,0,2,4,0,4,0,25,1,1,0.1,12.4,47.4,0.09,909.985,218
Fe-N/C,1,1,0,0,0,0,0,0,0,0,0,100,26,0,33.3,30,2,16.67,27,2,15.585,26.5,2,3,500,4,0,4,0,37,0,2,0.13,0.13,0.2,345000000,3.33E+13,219
Cu-N-C,0,1,0,0,0,0,0,0,0,0,0,100,29,0,33.3,30,2,1.35,58,4,3.25,46,0,1,200,4,3,3,0,25,0,0,0.26,0.71,0.105,345000000,3.33E+13,220
Cu-N-C,1,1,0,0,0,0,0,0,0,0,0,100,29,0,33.3,30,2,1.35,58,4,3.25,46,0,1,200,4,3,3,0,25,0,2,0.26,0.84,0.105,345000000,3.33E+13,220
"Fe, N-CDs",0,1,0,0,0,0,0,0,0,0,0,100,26,0,33.3,30,2,9.84,30,2,3.25,46,0,0,5.28,98,0,3.5,0,50,1,1,5,0.21,0.75,345000000,3.33E+13,221
"Fe, N-CDs",0,1,0,0,0,0,0,0,0,0,0,100,26,0,33.3,30,2,8.085,47,0,5.5,36,1,0,5.28,98,0,3.5,0,50,0,0,100,0.9,4.12,345000000,3.33E+13,221
MnCo2O4,1,0,0,0,0,0,0,0,0,0,0,66.66,27,2,33.3,25,2,18.335,27,2,12.75,26,2,4,600,4,0,4,0,25,0,2,0.26,0.33,0.33,345000000,3.33E+13,222
R-MnCo2O4,1,0,0,0,0,0,0,0,0,0,0,66.66,27,3,33.3,25,2,18.335,27,2,12.75,26,2,4,600,4,0,4,0,25,0,2,0.26,0.14,0.14,345000000,3.33E+13,223
Co3O4,1,0,0,0,0,0,0,0,0,0,0,60.4,27,2,39.6,27,3,13.33,58,3,3.25,46,0,5,5,4,0,4,0,40,0,2,0.26,0.05,0.03,345000000,3.33E+13,180
Co3O4,1,0,0,0,0,0,0,0,0,0,0,60.4,27,2,39.6,27,3,13.33,58,3,3.25,46,0,5,5,4,0,4,0,40,3,2,0.26,0.04,0.03,345000000,3.33E+13,180
Fe-Pt Alloys,1,0,0,0,0,0,0,0,0,0,0,50,26,0,50,78,0,9.84,30,2,3.25,46,0,0,28,99,4,4,0,37,0,2,25.25,0.03,0.01,0.1,6.31,224
H2TCPP-ZnS,0,0,0,1,0,0,0,0,0,0,0,100,30,2,33.3,30,2,8.085,47,0,5.77,26.5,2.5,0,10,74,0,3.8,0,25,0,0,250,0.05,0.1,345000000,3.33E+13,225
H2TCPP-ZnS,0,0,0,1,0,0,0,0,0,0,0,100,30,2,33.3,30,2,3.25,46,0,3.25,46,0,0,10,74,0,3.8,0,25,1,1,1,0.17,0.1,345000000,3.33E+13,225
CoSe2,1,0,0,0,0,1,0,0,0,0,0,100,27,2,33.3,30,2,1.35,58,4,3.52,36.5,1.5,0,15,4,0,3.5,0,25,0,2,0.26,0.47,0.17,345000000,3.33E+13,226
CeO2,1,0,0,0,0,0,0,0,0,0,0,62,58,4,38,58,3,3.25,46,0,3.25,46,0,0,3.8,61,10,4.5,0,37,0,2,62.55,0.42,0.1,0.1,0.1,18
CeO2 NRs,1,0,0,0,0,0,0,0,0,0,0,100,58,4,23.9,58,3,2.28,62,0,3.79,27,3,4,8,4,0,4,0,25,0,2,25.1,0.35,0.14,1.21,3460,227
SO4/CeO2 NRs(SO4揭燴腔CeO2 NRs),1,0,0,1,0,0,0,0,0,0,0,100,58,4,23.9,58,3,9.84,30,2,3.25,46,0,4,8,100,0,4,0,25,0,2,0.35,0.22,0.48,16.55,75230,228
Fe SAEs,1,1,0,0,0,0,0,0,0,0,0,100,26,3,23.015,23,5,24.845,25,4,12.75,26,2,3,200,4,0,3.8,0,37,0,2,5.1,0.13,0.02,0.02,161.75,229
Fe SAEs,1,1,0,0,0,0,0,0,0,0,0,100,26,3,23.015,23,5,24.845,25,4,12.75,26,2,3,200,4,0,3.8,0,37,6,2,0.72,0.07,0.02,0.01,215.24,229
Fe SAEs,0,1,0,0,0,0,0,0,0,0,0,100,26,3,24.165,23,5,24.845,25,4,15.585,26.5,2,3,200,4,0,3.8,0,37,0,0,3,3.92,0.59,0.55,140.19,229
Fe SAEs,0,1,0,0,0,0,0,0,0,0,0,100,26,3,23.015,23,5,24.845,25,4,15.585,26.5,2,3,200,4,0,3.8,0,37,1,1,1,0.24,0.08,0.08,317.3,229
Fe SAEs,0,1,0,0,0,0,0,0,0,0,0,100,26,3,24.165,23,5,24.845,25,4,15.585,26.5,2,3,200,4,0,3.8,0,37,6,0,3,0.57,0.16,0.15,266.32,229
Cu2MoS4,1,0,0,1,0,0,0,0,0,0,0,66.6,29,1,33.3,42,6,4.075,62,0,3.25,46,0,1,28,60,1,7,1,25,13,2,0.26,0.01,0.11,345000000,3.33E+13,230
Cu2MoS4,0,0,0,1,0,0,0,0,0,0,0,66.6,29,1,33.3,42,6,15.95,58,4,12.21,26.5,2,1,28,60,0,4,0,37,0,0,62.5,1.36,0.27,345000000,3.33E+13,230
Cu2MoS4,0,0,0,1,0,0,0,0,0,0,0,66.6,29,1,33.3,42,6,3.25,46,0,3.25,46,0,1,28,60,0,4,0,37,1,1,0.27,25.46,0.43,345000000,3.33E+13,230
PtFe@Fe3O4,0,0,0,0,0,0,0,0,0,0,0,94.94,26,3,5.06,78,0,16.67,28,2,12.75,26,2,4,140,69,0,4.5,0,25,0,0,528,0.21,0.05,345000000,3.33E+13,231
PtFe@Fe3O4,0,0,0,0,0,0,0,0,0,0,0,94.94,26,3,5.06,78,0,9.685,37,1,15.585,26.5,2,4,140,69,0,4.5,0,25,1,1,1.64,53.55,0.11,345000000,3.33E+13,231
PtFe,0,0,0,0,0,0,0,0,0,0,0,78.43,26,3,21.57,78,0,16.67,28,2,12.75,26,2,4,140,69,0,4.5,0,25,0,0,528,0.24,0.06,345000000,3.33E+13,232
PtFe,0,0,0,0,0,0,0,0,0,0,0,78.43,26,3,21.57,78,0,13.11,52.5,2,16.67,27,2,4,140,69,0,4.5,0,25,1,1,1.64,217.6,0.08,345000000,3.33E+13,232
Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.67,26,3,33.3,26,2,16.64,58,4,9.375,26,2,0,12.5,69,0,4.5,0,25,0,0,528,0.27,0.04,345000000,3.33E+13,79
Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.67,26,3,33.3,26,2,17.33,42,3,9.96,36.5,1,0,12.5,69,0,4.5,0,25,1,1,1.64,120,0.05,345000000,3.33E+13,79
Pt@HCS NPs,0,1,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,7.455,46,0,9.96,36.5,1,0,133,98,0,4.5,0,25,0,0,48,1.66,0.24,345000000,3.33E+13,233
Pt@HCS NPs,0,1,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,7.455,46,0,9.96,36.5,1,0,133,98,0,4.5,0,25,1,1,0.28,0.06,0.1,345000000,3.33E+13,233
Pt@HCS NPs,1,1,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,7.455,46,0,9.96,36.5,1,0,133,98,0,4.5,0,25,0,2,0.26,0.48,0.1,345000000,3.33E+13,233
HCS@Pt NPs,0,1,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,7.455,46,0,9.96,36.5,1,0,122,98,0,4.5,0,25,0,0,48,1.78,0.51,345000000,3.33E+13,234
HCS@Pt NPs,0,1,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,7.455,46,0,9.96,36.5,1,0,122,98,0,4.5,0,25,1,1,0.28,0.05,0.22,345000000,3.33E+13,234
HCS@Pt NPs,1,1,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,7.455,46,0,9.96,36.5,1,0,122,98,0,4.5,0,25,0,2,0.26,0.35,0.01,345000000,3.33E+13,234
Co3O4@Co-Fe oxide DSNCs,0,0,0,0,0,0,0,0,0,0,0,47.79,27,3,28.31,26,3,20.34,27,2,15,23,4,3,1250,4,0,3.5,0,37,1,1,0.5,0.24,0.05,345000000,3.33E+13,235
Co3O4@Co-Fe oxide DSNCs,0,0,0,0,0,0,0,0,0,0,0,47.79,27,3,28.31,26,3,23.9,27,2,15,23,4,3,1250,4,0,3.5,0,37,0,0,0.5,0.48,0.05,345000000,3.33E+13,235
Co-Fe oxide SSNCs,0,0,0,0,0,0,0,0,0,0,0,49.76,26,3,33.55,27,3,16.78,27,2,15,23,4,3,1250,4,0,3.5,0,37,1,1,0.5,0.33,0.04,345000000,3.33E+13,236
Co-Fe oxide SSNCs,0,0,0,0,0,0,0,0,0,0,0,49.76,26,3,33.55,27,3,16.78,27,2,15,23,4,3,1250,4,0,3.5,0,37,0,0,0.5,0.54,0.04,345000000,3.33E+13,236
Co3O4 SSNCs,0,0,0,0,0,0,0,0,0,0,0,66.6,27,3,33.3,27,2,16.78,27,2,15,23,4,3,1250,4,0,3.5,0,37,1,1,0.5,0.8,0.02,345000000,3.33E+13,237
Co3O4 SSNCs,0,0,0,0,0,0,0,0,0,0,0,66.6,27,3,33.3,27,2,16.78,27,2,15,23,4,3,1250,4,0,3.5,0,37,0,0,0.5,1.09,0.03,345000000,3.33E+13,237
MOF-818,1,1,0,0,0,0,0,0,0,0,0,100,29,2,20.375,23,5,16.67,27,2,12.75,26,2,3,500,4,10,8,0,25,18,2,0.5,0.81,3.17,0.38,473,238
MOF-818,1,1,0,0,0,0,0,0,0,0,0,100,29,2,20.375,23,5,16.67,27,2,12.75,26,2,3,500,4,10,8,0,25,19,2,0.5,0.48,0.08,0.01,20.1,238
CeO2,1,0,0,0,0,0,0,0,0,0,0,100,58,4,33.3,28,2,16.67,28,2,15.585,26.5,2,0,330,101,2,8,0,25,18,2,200.25,1.26,0.18,0.1,0.5,18
Pt NPs,1,0,0,0,0,0,0,0,0,0,0,100,78,0,17,78.5,0,2.765,46,0,3.52,36.5,1.5,0,4,60,2,8,0,25,18,2,345,1.81,4.71,0.02,10.1,7
Fe-N-C,0,1,0,0,0,0,0,0,0,0,0,100,26,3,33.3,30,2,24.845,25,4,12.75,26,2,3,150,4,0,3.6,0,45,0,0,1,0.3,0.18,218010550,2.57E+13,239
Fe-N-C,0,1,0,0,0,0,0,0,0,0,0,100,26,3,33.3,30,2,24.845,25,4,12.75,26,2,3,150,4,0,3.6,0,45,1,1,0.2,0.21,0.1,218010550,2.57E+13,239
Pd/Pt NWs,1,0,0,0,0,0,0,0,0,0,0,75,78,0,25,46,0,11.01,27,2,3.79,27,3,4,11,4,0,4,0,30,0,2,0.26,0.06,11.4,345000000,3.33E+13,240
FeP@C,0,0,1,0,0,0,0,0,0,0,0,100,26,3,33.3,30,2,9.84,30,2,3.25,46,0,0,5.8,98,5,6,0,55,14,2,0.26,0.1,0.105,345000000,3.33E+13,241
PtNPs@MWCNTs,1,0,0,0,0,0,0,0,0,0,0,100,78,0,19.25,68.5,1.5,9.84,30,2,3.25,46,0,0,3.3,98,3,5,0,25,20,2,6.55,0.14,1.64,0.02,150,242
PtNPs@MWCNTs,1,0,0,0,0,0,0,0,0,0,0,100,78,0,19.25,68.5,1.5,9.84,30,2,3.25,46,0,0,3.3,98,3,5,0,25,21,2,6.55,0.45,5.16,0.07,146.02,242
copper sulfide,0,0,0,1,0,0,0,0,0,0,0,100,29,2,33.3,30,2,16.67,27,2,15.585,26.5,2,0,500,102,0,4,0,25,0,0,20,0.44,0.69,345000000,3.33E+13,243
copper sulfide,0,0,0,1,0,0,0,0,0,0,0,100,29,2,33.3,30,2,16.67,27,2,15.585,26.5,2,0,500,102,0,4,0,25,1,1,0.6,0.04,0.36,345000000,3.33E+13,243
Bare CuS,0,0,0,1,0,0,0,0,0,0,0,100,29,2,33.3,30,2,1.815,52,2,5.5,36,1,0,40,4,2,7,1,25,0,0,3.33,0.11,0.1,345000000,3.33E+13,244
Bare CuS,0,0,0,1,0,0,0,0,0,0,0,100,29,2,33.3,30,2,15.95,58,4,9.96,36.5,1,0,40,4,2,7,1,25,1,1,0.17,101.8,0.1,345000000,3.33E+13,244
CuS-Asp0.05,0,1,0,1,0,0,0,0,0,0,0,100,29,2,33.3,30,2,8.2,38.5,1,3.25,46,0,0,40,103,2,7,1,25,0,0,3.33,0.09,0.33,345000000,3.33E+13,245
CuS-Asp0.05,0,1,0,1,0,0,0,0,0,0,0,100,29,2,33.3,30,2,8.085,47,0,9.96,36.5,1,0,40,103,2,7,1,25,1,1,0.17,103.2,0.38,345000000,3.33E+13,245
h-CuS NCs,0,1,0,1,0,0,0,0,0,0,0,100,29,2,33.3,30,2,2.975,46,0,3.25,46,0,5,50,60,0,4,0,25,0,0,30,1.62,0.17,345000000,3.33E+13,246
h-CuS NCs,0,1,0,1,0,0,0,0,0,0,0,100,29,2,33.3,30,2,2.975,46,0,3.25,46,0,5,50,60,0,4,0,25,1,1,0.5,0.94,0.03,345000000,3.33E+13,246
CuS-BSA-Cu3(PO4)2,0,1,0,1,0,0,0,0,0,0,0,100,29,2,33.3,30,2,3.25,46,0,3.25,46,0,0,10,80,0,4,0,25,0,0,1,0.55,0.08,345000000,3.33E+13,247
CuS-BSA-Cu3(PO4)2,0,1,0,1,0,0,0,0,0,0,0,100,29,2,33.3,30,2,3.25,46,0,3.25,46,0,0,10,80,0,4,0,25,1,1,0.3,0.29,0.08,345000000,3.33E+13,247
50Co/CuS-MMT,0,0,0,0,1,0,0,0,0,0,0,50,29,2,50,27,2,9.84,30,2,3.25,46,0,0,2,104,0,4,0,25,0,0,10,0.08,0.1,345000000,3.33E+13,248
50Co/CuS-MMT,0,0,0,0,1,0,0,0,0,0,0,50,29,2,50,27,2,9.84,30,2,3.25,46,0,0,2,104,0,4,0,25,1,1,1,3.42,0.07,345000000,3.33E+13,248
CuS NPs,0,1,0,1,0,0,0,0,0,0,0,100,29,2,33.3,30,2,6.56,47,0,3.25,46,0,3,45,105,0,4,0,40,0,0,13,0.01,0.09,345000000,3.33E+13,249
CuS NPs,0,1,0,1,0,0,0,0,0,0,0,100,29,2,33.3,30,2,4.63,46.5,0,3.25,46,0,3,45,105,0,4,0,40,1,1,0.1,12,0.21,345000000,3.33E+13,249
CuS-rGO,0,0,0,1,0,0,0,0,0,0,0,100,29,2,33.3,30,2,18.335,27,2,15.585,26.5,2,0,600,0,0,4.4,0,25,0,0,40,0.02,0.02,345000000,3.33E+13,250
CuS-rGO,0,0,0,1,0,0,0,0,0,0,0,100,29,2,33.3,30,2,18.335,27,2,15.585,26.5,2,0,600,0,0,4.4,0,25,1,1,0.1,3.1,0.02,345000000,3.33E+13,250
TiO2 nanotube arrays,0,0,0,0,0,0,0,0,0,0,0,100,22,4,33.3,30,2,4.175,41.5,3,5.5,36,1,4,70,4,0,3.5,0,40,0,0,3,0.13,0.07,218010550,2.57E+13,251
TiO2 nanotube arrays,0,0,0,0,0,0,0,0,0,0,0,100,22,4,33.3,30,2,4.175,41.5,3,5.5,36,1,4,70,4,0,3.5,0,40,1,1,0.25,5.26,7.6,218010550,2.57E+13,251
CuS clews,0,0,0,1,0,0,0,0,0,0,0,100,29,2,33.3,30,2,18.335,27,2,12.75,26,2,4,588,4,0,4,0,25,0,0,350,0.06,0.76,345000000,3.33E+13,252
CuS clews,0,0,0,1,0,0,0,0,0,0,0,100,29,2,33.3,30,2,18.335,27,2,15.585,26.5,2,4,588,4,0,4,0,25,1,1,0.2,1.75,0.24,345000000,3.33E+13,252
CoS,0,0,0,1,0,0,0,0,0,0,0,100,27,2,33.3,30,2,15,23,5,15,23,4,0,3000,4,0,3.5,0,25,0,0,20,0.41,0.06,345000000,3.33E+13,253
CoS,0,0,0,1,0,0,0,0,0,0,0,100,27,2,33.3,30,2,15,23,5,15,23,4,0,3000,4,0,3.5,0,25,1,1,0.15,7.15,0.03,345000000,3.33E+13,253
BNNS@CuS,0,1,0,1,0,0,0,0,0,0,0,100,29,2,33.3,30,2,8.085,47,0,5.5,36,1,0,30,106,11,3,0,35,0,0,100,0.18,0.04,345000000,3.33E+13,254
BNNS@CuS,0,1,0,1,0,0,0,0,0,0,0,100,29,2,33.3,30,2,9.84,30,2,3.25,46,0,0,30,106,11,3,0,35,1,1,0.6,25,0.13,345000000,3.33E+13,254
MoS2-GSSG,0,1,0,1,0,0,0,0,0,0,0,100,42,4,33.3,30,2,7.455,46,0,9.96,36.5,1,1,100,107,0,4,0,25,0,0,0.26,0.48,0.03,345000000,3.33E+13,255
MoS2-GSSG,0,1,0,1,0,0,0,0,0,0,0,100,42,4,33.3,30,2,7.455,46,0,9.96,36.5,1,1,100,107,0,4,0,25,1,1,0.26,0.33,0.03,345000000,3.33E+13,255
CuS-MMT,0,1,0,1,0,0,0,0,0,0,0,100,29,2,33.3,13,3,8.085,47,0,9.375,26,2,0,28,104,0,3.8,0,25,0,0,250,0.02,0.03,345000000,3.33E+13,256
CuS-MMT,0,1,0,1,0,0,0,0,0,0,0,100,29,2,33.3,13,3,9.84,30,2,3.25,46,0,0,28,104,0,3.8,0,25,1,1,1,2.27,0.01,345000000,3.33E+13,256
NiO,1,0,0,0,0,0,0,0,0,0,0,100,28,2,1.37,58,3,1.35,58,4,3.25,46,0,0,20,4,12,7.4,1,25,14,2,750.1,0.1,0.1,0.14,225806.45,177
Ac-G9/Pt NP,2,1,0,0,0,0,0,0,0,0,0,100,78,0,14.5,58,3,16.64,58,4,9.96,36.5,1,0,3.3,108,2,8.4,1,37,1,2,50.07,126.1,82.49,8249,65416.34,257
Au@Pt0.25 NRs,0,0,0,0,0,0,0,0,0,0,0,80,79,0,20,78,0,9.96,36,1,9.96,36.5,1,4,72,83,2,4.5,0,37,0,0,10,0.03,0.03,18800,723076923.1,258
Au@Pt0.25 NRs,0,0,0,0,0,0,0,0,0,0,0,80,79,0,20,78,0,17.02,79,0,9.96,36.5,1,4,72,109,2,4.5,0,37,0,0,10,0.16,0.12,73000,447852760.7,258
Au@Pt0.25 NRs,0,0,0,0,0,0,0,0,0,0,0,80,79,0,20,78,0,16,31.5,2,11.125,26,2,4,72,83,2,4.5,0,37,3,0,100,0.25,0.1,2200,8764940.24,258
Au@Pt0.25 NRs,0,0,0,0,0,0,0,0,0,0,0,80,79,0,20,78,0,16.67,28,2,11.125,26,2,4,72,109,2,4.5,0,37,3,0,100,0.18,0.02,10300,55978260.87,258
Au@Pt0.25,0,0,0,0,0,0,0,0,0,0,0,80,79,0,20,78,0,9.96,36,1,9.96,36.5,1,4,72,83,2,4.5,0,37,6,0,20,0.03,0.1,5740,220769230.8,259
Au@Pt0.17,0,0,0,0,0,0,0,0,0,0,0,85.47,79,0,14.53,78,0,9.96,36,1,9.96,36.5,1,4,72,83,2,4.5,0,37,6,0,20,0.01,0.03,1920,342857142.9,260
Au@Pt0.10,0,0,0,0,0,0,0,0,0,0,0,90.91,79,0,9.09,78,0,7.13,36.5,1,3.52,36.5,1.5,4,72,83,2,4.5,0,37,6,0,20,0.1,0.02,960,457142857.1,261
Au@Pt,0,0,0,0,0,0,0,0,0,0,0,50,79,0,50,78,0,13.43,54.5,1,9.96,36.5,1,0,40,110,3,5,0,25,0,0,0.08,0.1,0.04,1475,606746195,262
Au@Pt,0,0,0,0,0,0,0,0,0,0,0,50,79,0,50,78,0,13.43,54.5,1,9.96,36.5,1,0,40,110,3,5,0,25,1,1,0.04,0.1,0.06,2004,491658488.7,262
0.4Cu-CDs ,0,0,0,0,0,0,0,0,0,0,0,100,29,0,33.3,30,2,2.28,62,0,3.52,36.5,1.5,0,3.9,9,1,7,1,37,6,0,0.63,0.59,0.04,345000000,3.33E+13,263
His@AuNCs,1,1,0,0,0,0,0,0,0,0,0,100,79,0,33.3,30,2,2.28,62,0,3.79,27,3,0,1.72,4,0,5,0,25,0,2,0.26,0.04,0.06,345000000,3.33E+13,264
His@AuNCs/G,1,1,0,0,0,0,0,0,0,0,0,100,79,0,33.3,30,2,6.56,47,0,3.25,46,0,0,1.72,111,0,5,0,25,0,2,0.26,0.04,0.06,345000000,3.33E+13,265
His@AuNCs/GO,1,1,0,0,0,0,0,0,0,0,0,100,79,0,33.3,30,2,6.56,47,0,3.25,46,0,0,1.72,112,0,5,0,25,0,2,0.26,0.04,0.06,345000000,3.33E+13,266
His@AuNCs/RGO,1,1,0,0,0,0,0,0,0,0,0,100,79,0,33.3,30,2,6.56,47,0,3.25,46,0,0,1.72,113,0,5,0,25,0,2,0.26,0.03,0.07,345000000,3.33E+13,267
ATP-Cu,1,1,1,0,0,0,0,0,0,0,0,100,29,2,33.3,30,2,3.25,46,0,3.25,46,0,3,200,67,7,6.7,0,25,22,7,0.26,0.21,0.04,345000000,3.33E+13,268
Mn-Co NS,1,0,0,0,0,0,0,0,0,0,0,74.25,27,2,25.75,25,2,16.67,27,2,12.75,26,2,0,500,4,0,5.5,0,25,0,2,0.26,0.03,0.105,345000000,3.33E+13,269
Co/Mn-MOF,0,0,0,0,0,0,0,0,0,0,0,58.82,25,2,41.18,27,2,16.78,27,2,15,23,4,1,200,4,0,4,0,35,0,0,0.26,0.27,0.16,345000000,3.33E+13,270
Co/Mn-MOF,0,0,0,0,0,0,0,0,0,0,0,58.82,25,2,41.18,27,2,16.78,27,2,15,23,4,1,200,4,0,4,0,35,1,1,0.26,0.24,0.58,345000000,3.33E+13,270
Co3O4/CuO HNCs,1,0,0,0,0,0,0,0,0,0,0,40,27,3,40,29,2,20,27,2,12.75,26,2,3,607,4,0,4,0,40,0,2,0.26,0.22,0.105,345000000,3.33E+13,271
bare CeO2,2,0,0,0,0,0,0,0,0,0,0,85.5,58,4,14.5,58,3,2.28,62,0,3.79,27,3,0,9,4,5,7.5,1,25,1,2,25.1,0.01,0.1,0.23,19166.67,272
CeO2@PAA2K,2,0,0,0,0,0,0,0,0,0,0,85.5,58,4,14.5,58,3,9.84,30,2,3.25,46,0,0,15.1,101,5,7.5,1,25,1,2,25.25,0.6,0.1,0.01,8.33,273
CeO2@PAA5K,2,0,0,0,0,0,0,0,0,0,0,85.5,58,4,14.5,58,3,9.84,30,2,3.25,46,0,0,40.2,101,5,7.5,1,25,1,2,27.5,0.13,0.1,0.02,161.54,274
FeAC/FeSA-NC,1,1,0,0,0,0,0,0,0,0,0,100,26,0,33.3,30,2,16.67,28,2,15.585,26.5,2,3,160,114,0,4,0,25,23,1,0.26,0.13,0.105,345000000,3.33E+13,275
Fe-N-C SAzymes ,1,1,0,0,0,0,0,0,0,0,0,100,26,0,33.3,30,2,16.67,28,2,3.25,46,0,3,200,114,0,3,0,45,23,1,0.26,0.02,0.06,345000000,3.33E+13,276
apo-TF-MnOx NFs,0,1,0,1,0,0,0,0,0,0,0,100,25,2,33.3,30,2,4.63,46.5,0,3.25,46,0,0,54.6,102,0,4,0,37,1,1,2,0.18,0.105,345000000,3.33E+13,277
apo-TF-MnOx NFs,0,1,0,1,0,0,0,0,0,0,0,100,25,2,33.3,30,2,15.95,58,4,16.67,27,2,0,54.6,102,0,4,0,37,0,0,1,6290,0.105,345000000,3.33E+13,277
 carbon dots ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,33.3,30,2,17.405,25.5,3,9.375,26,2,0,3.5,4,2,7,1,25,0,2,0.26,0.29,1.1,345000000,3.33E+13,278
Au@MnO2-X nanozymes ,1,0,0,0,0,0,0,0,0,0,0,89.69,25,2,10.31,79,0,15.95,58,4,11.125,26,2,0,130,4,6,4,3,25,0,2,0.26,0.15,4715,345000000,3.33E+13,279
 SrTiO3 nanosheets ,0,0,0,0,0,0,0,0,0,0,0,50,22,2,50,38,3,13.33,58,3,5.5,36,1,1,10,0,0,4,0,25,1,1,0.26,0.39,0.12,345000000,3.33E+13,280
 SrTiO3 nanosheets ,0,0,0,0,0,0,0,0,0,0,0,50,22,2,50,38,3,13.33,58,3,5.5,36,1,1,10,0,0,4,0,25,0,0,0.26,0.02,0.1,345000000,3.33E+13,280
A-Pd@MoO3?x NH,1,1,0,0,0,0,0,0,0,0,0,50,42,6,50,46,0,16.67,26,2,16.67,27,2,0,80,24,3,5.5,0,25,0,2,0.33,0.05,0.03,0.06,909.985,281
A-Pd@MoO3?x NH,0,1,0,0,0,0,0,0,0,0,0,50,42,6,50,46,0,16.67,26,2,16.67,27,2,0,80,24,3,5.5,0,25,0,0,0.33,0.03,0.04,0.08,909.985,281
rGO@FeS2,0,0,0,1,0,0,0,0,0,0,0,100,26,3,33.3,30,2,13.765,25,3,8.875,36,1,0,100,4,0,4.5,0,25,1,1,0.26,0.02,0.01,345000000,3.33E+13,282
rGO@FeS2,0,0,0,1,0,0,0,0,0,0,0,100,26,3,33.3,30,2,13.765,25,3,8.875,36,1,0,100,4,0,4.5,0,25,0,0,0.26,0.43,0.03,345000000,3.33E+13,282
rGO@PDA@CeO2,0,1,0,0,0,0,0,0,0,0,0,100,58,4,33.3,30,2,2.28,62,0,3.79,27,3,1,4,4,5,7.4,1,25,1,1,0.26,0.26,0.09,345000000,3.33E+13,283
rGO@PDA@CeO2,0,1,0,0,0,0,0,0,0,0,0,100,58,4,33.3,30,2,2.28,62,0,3.79,27,3,1,4,4,5,7.4,1,25,0,0,0.26,0.41,0.1,345000000,3.33E+13,283
rGO@PDA@CeO2,0,1,0,0,0,0,0,0,0,0,0,100,58,4,33.3,30,2,2.28,62,0,3.79,27,3,1,4,4,5,7.4,1,25,1,1,0.26,6.39,0.12,345000000,3.33E+13,283
rGO@PDA@CeO2,0,1,0,0,0,0,0,0,0,0,0,100,58,4,33.3,30,2,2.28,62,0,3.79,27,3,1,4,4,5,7.4,1,25,0,0,0.26,6.81,0.49,345000000,3.33E+13,283
rGO@PDA@CeO2/ATP ,0,1,0,0,0,0,0,0,0,0,0,100,58,4,33.3,30,2,2.28,62,0,3.79,27,3,1,4,24,5,7.4,1,25,1,1,0.26,1.72,0.04,345000000,3.33E+13,284
rGO@PDA@CeO2/ATP ,0,1,0,0,0,0,0,0,0,0,0,100,58,4,33.3,30,2,2.28,62,0,3.79,27,3,1,4,24,5,7.4,1,25,0,0,0.26,0.21,0.06,345000000,3.33E+13,284
rGO@PDA@CeO2/ATP/aptamer ,0,1,0,0,0,0,0,0,0,0,0,100,58,4,33.3,30,2,2.28,62,0,3.79,27,3,1,4,24,5,7.4,1,25,1,1,0.26,4.44,0.06,345000000,3.33E+13,285
rGO@PDA@CeO2/ATP/aptamer ,0,1,0,0,0,0,0,0,0,0,0,100,58,4,33.3,30,2,2.28,62,0,3.79,27,3,1,4,24,5,7.4,1,25,0,0,0.26,0.14,0.09,345000000,3.33E+13,285
FeSx/MoS2@rGO,0,0,0,1,0,0,0,0,0,0,0,50,26,3,50,42,4,16.67,27,2,15.585,26.5,2,0,550,0,0,4,0,40,1,1,0.02,0.06,0.22,345000000,3.33E+13,286
FeSx/MoS2@rGO,0,0,0,1,0,0,0,0,0,0,0,50,26,3,50,42,4,16.67,27,2,15.585,26.5,2,0,550,0,0,4,0,40,0,0,0.5,0.03,0.28,345000000,3.33E+13,286
